date,Arb Nbuy,Nonarb Nbuy,Inst Nbuy,Foreign Nbuy,VKOSPI,VIX
2006-05-12,-535.62,60.24,-249.71862,-85.35396,19.43,14.19
2006-05-15,-294.86,39.27,53.636,-313.064,21.14,13.57
2006-05-16,-80.15,85.02,160.90559,-357.45443,23.54,13.35
2006-05-17,-106.77,52.12,202.26115,-106.91507,21.75,16.26
2006-05-18,-67.27,61.58,217.17978,-412.85766,22.64,16.99
2006-05-19,-49.75,72.85,218.82759,-468.99503,21.91,17.18
2006-05-22,-161.04,28.87,8.70326,-98.87495,23.35,17.72
2006-05-23,490.46,-4.97,717.3324,-668.07141,24.18,18.26
2006-05-24,87.47,34.49,397.17241,-377.87362,23.37,17.36
2006-05-25,-227.58,-45.67,77.08457,-234.53215,25.6,15.5
2006-05-26,32.87,55.21,192.0835,-83.46343,23.08,14.26
2006-05-29,-297.4,34.32,-89.49556,143.93673,22.56,14.26
2006-05-30,-209.85,143.45,-0.20646,99.78143,21.21,18.66
2006-06-01,-93.97,163.9,-18.45222,61.37877,22.38,14.52
2006-06-02,108.65,98.43,155.93549,-48.84449,21.74,14.32
2006-06-05,-274.22,-55.04,-101.38721,103.13013,24.09,16.65
2006-06-07,310.94,-58.98,356.40103,-226.82292,24.91,17.8
2006-06-08,-270.42,-233.91,-128.60474,-141.54299,30.91,18.35
2006-06-09,54.6,-60.13,256.04685,-536.87117,28.4,18.12
2006-06-12,0.43,5.76,233.12318,-247.98016,27.65,20.96
2006-06-13,-33.76,-35.29,71.2356,-165.13286,29.4,23.81
2006-06-14,236.77,22.36,499.99194,-510.63861,28.19,21.46
2006-06-15,-241.06,-33.36,-33.47776,-113.62721,26.87,15.9
2006-06-16,116.27,72.64,286.00377,-48.49005,24.32,17.25
2006-06-19,-123.81,-24.85,-21.9437,-37.62895,26.05,17.83
2006-06-20,-42.11,-61.73,-72.8043,-62.88497,27.18,16.69
2006-06-21,-9.34,-58.01,41.06806,-200.54848,27.06,15.52
2006-06-22,351.49,12.88,53.47245,-15.36477,25.89,15.88
2006-06-23,-99.81,20.66,40.05065,-126.60475,26.12,15.89
2006-06-26,86.63,14.03,198.19448,-183.27339,26.07,15.62
2006-06-27,-105.41,43.6,39.72582,-45.82842,25.29,16.4
2006-06-28,-150.16,25.95,33.45888,-132.86679,26.4,15.79
2006-06-29,335.36,64.43,339.56321,-183.08579,24.9,13.03
2006-06-30,21.13,393.13,143.23526,201.33615,22.72,13.08
2006-07-03,-139.78,83.29,-124.64408,-3.49476,23.73,13.05
2006-07-04,-60.89,60.36,-111.37866,53.02629,23.84,13.05
