"Index","SPVXSP.Index.DailyEndEq"
2007-08-29,-0.0418380000000001
2007-08-30,0.00955845000000019
2007-08-31,-0.0310524
2007-09-04,0
2007-09-05,0
2007-09-06,0
2007-09-07,0
2007-09-10,0
2007-09-11,0
2007-09-12,0
2007-09-13,0
2007-09-14,0
2007-09-17,0
2007-09-18,0
2007-09-19,0
2007-09-20,0
2007-09-21,-0.04315424
2007-09-24,-0.00678159999999998
2007-09-25,0
2007-09-26,0
2007-09-27,0
2007-09-28,0
2007-10-01,0
2007-10-02,0
2007-10-03,-0.01236276
2007-10-04,-0.00822312000000011
2007-10-05,0.0543555
2007-10-08,-0.0127996199999999
2007-10-09,0.0484257599999999
2007-10-10,-0.00240821999999997
2007-10-11,-0.06001722
2007-10-12,0.01936188
2007-10-15,-0.0494580600000001
2007-10-16,-0.0458567999999999
2007-10-17,0.0129623400000001
2007-10-18,-0.000897660000000149
2007-10-19,0
2007-10-22,0
2007-10-23,0
2007-10-24,0
2007-10-25,0
2007-10-26,0
2007-10-29,0
2007-10-30,0
2007-10-31,0
2007-11-01,0
2007-11-02,0
2007-11-05,0
2007-11-06,0.0501402
2007-11-07,0
2007-11-08,0.00417340000000002
2007-11-09,-0.05570922
2007-11-12,0
2007-11-13,0
2007-11-14,0
2007-11-15,-0.0635898200000001
2007-11-16,-0.0138881600000001
2007-11-19,0.0143258700000001
2007-11-20,0
2007-11-21,0
2007-11-23,0
2007-11-26,0.0544727399999999
2007-11-27,0
2007-11-28,-0.0733539299999997
2007-11-29,0
2007-11-30,0
2007-12-03,0.0051448600000001
2007-12-04,0
2007-12-05,0
2007-12-06,0
2007-12-07,0
2007-12-10,0
2007-12-11,0
2007-12-12,0
2007-12-13,-0.0048105
2007-12-14,-0.0280165499999999
2007-12-17,-0.0331726500000001
2007-12-18,0.0359914500000001
2007-12-19,0.00599370000000007
2007-12-20,0.0100570499999999
2007-12-21,0
2007-12-24,0
2007-12-26,0
2007-12-27,0
2007-12-28,0
2007-12-31,0
2008-01-02,0
2008-01-03,0.0080925
2008-01-04,-0.0391127999999999
2008-01-07,0.0203377499999999
2008-01-08,-0.04711185
2008-01-09,0.0104830499999999
2008-01-10,0.0324105000000001
2008-01-11,-0.0448727999999999
2008-01-14,0.0433078499999999
2008-01-15,0
2008-01-16,0
2008-01-17,0
2008-01-18,0
2008-01-22,0
2008-01-23,0
2008-01-24,0
2008-01-25,0
2008-01-28,0
2008-01-29,0
2008-01-30,0
2008-01-31,-0.0141500800000001
2008-02-01,-0.02455236
2008-02-04,0.0323316000000001
2008-02-05,0.05318754
2008-02-06,0.0265647199999999
2008-02-07,-0.0154330399999999
2008-02-08,0.01788262
2008-02-11,-0.02304204
2008-02-12,0
2008-02-13,0
2008-02-14,0
2008-02-15,0
2008-02-19,-0.01181404
2008-02-20,-0.0061345199999999
2008-02-21,0
2008-02-22,-0.0206715599999998
2008-02-25,0
2008-02-26,-0.01536405
2008-02-27,0
2008-02-28,0
2008-02-29,0
2008-03-03,0
2008-03-04,0.0165278400000002
2008-03-05,0.0234756199999998
2008-03-06,-0.0641628399999998
2008-03-07,0.00062929999999993
2008-03-10,-0.02814588
2008-03-11,0
2008-03-12,0
2008-03-13,0
2008-03-14,-0.05912298
2008-03-17,0
2008-03-18,0
