,BM, MACD ,SAR,ADX,RSI,Stoch,CCI,Program_Nbuy,FI_Nbuy,VIX_Avg,VKOSPI_Avg
2006-06-02 9:00,0.011388889,-0.011388889,-0.011388889,-0.011388889,0.011388889,0.011388889,0.011388889,-0.011388889,-0.011388889,-0.011388889,0.011388889
2006-06-05 9:00,-0.008888889,0.008888889,0.008888889,0.008888889,-0.008888889,-0.008888889,-0.008888889,0.008888889,0.008888889,-0.008888889,-0.008888889
2006-06-07 9:00,-0.022777778,0.022777778,0.022777778,0.022777778,-0.022777778,-0.022777778,-0.022777778,0.022777778,0.022777778,-0.022777778,-0.022777778
2006-06-08 9:00,-0.026666667,0.026666667,0.026666667,0.026666667,-0.026666667,-0.026666667,-0.026666667,0.026666667,0.026666667,-0.026666667,-0.026666667
2006-06-09 9:00,0.005277778,-0.005277778,-0.005277778,-0.005277778,0.005277778,0.005277778,0.005277778,-0.005277778,-0.005277778,0.005277778,0.005277778
2006-06-12 9:00,0.003333333,-0.003333333,-0.003333333,-0.003333333,0.003333333,0.003333333,0.003333333,-0.003333333,-0.003333333,0.003333333,0.003333333
2006-06-13 9:00,-0.031111111,0.031111111,0.031111111,0.031111111,-0.031111111,-0.031111111,-0.031111111,0.031111111,0.031111111,-0.031111111,-0.031111111
2006-06-14 9:00,0.016666667,-0.016666667,-0.016666667,-0.016666667,0.016666667,0.016666667,0.016666667,-0.016666667,-0.016666667,0.016666667,0.016666667
2006-06-15 9:00,-0.004722222,0.004722222,0.004722222,0.004722222,-0.004722222,-0.004722222,-0.004722222,0.004722222,0.004722222,-0.004722222,-0.004722222
2006-06-16 9:00,0.034166667,-0.034166667,-0.034166667,-0.034166667,0.034166667,0.034166667,0.034166667,-0.034166667,-0.034166667,0.034166667,0.034166667
2006-06-19 9:00,-0.006666667,0.006666667,0.006666667,0.006666667,-0.006666667,-0.006666667,-0.006666667,0.006666667,0.006666667,-0.006666667,-0.006666667
2006-06-20 9:00,-0.024722222,0.024722222,-0.024722222,0.024722222,-0.024722222,-0.024722222,-0.024722222,0.024722222,0.024722222,-0.024722222,-0.024722222
2006-06-21 9:00,0.002777778,-0.002777778,0.002777778,-0.002777778,0.002777778,0.002777778,0.002777778,-0.002777778,-0.002777778,0.002777778,0.002777778
2006-06-22 9:00,0.011666667,-0.011666667,0.011666667,-0.011666667,0.011666667,0.011666667,0.011666667,-0.011666667,-0.011666667,0.011666667,0.011666667
2006-06-23 9:00,-0.010833333,-0.010833333,-0.010833333,0.010833333,-0.010833333,-0.010833333,-0.010833333,0.010833333,0.010833333,-0.010833333,-0.010833333
2006-06-26 9:00,0.010555556,0.010555556,0.010555556,-0.010555556,0.010555556,0.010555556,0.010555556,-0.010555556,-0.010555556,0.010555556,0.010555556
2006-06-27 9:00,0.005,0.005,0.005,-0.005,0.005,0.005,0.005,-0.005,-0.005,0.005,0.005
2006-06-28 9:00,-0.006388889,-0.006388889,-0.006388889,0.006388889,-0.006388889,-0.006388889,-0.006388889,0.006388889,0.006388889,-0.006388889,-0.006388889
2006-06-29 9:00,0.020555556,0.020555556,0.020555556,-0.020555556,0.020555556,0.020555556,0.020555556,-0.020555556,-0.020555556,0.020555556,0.020555556
2006-06-30 9:00,0.018055556,0.018055556,0.018055556,-0.018055556,0.018055556,0.018055556,0.018055556,-0.018055556,-0.018055556,0.018055556,0.018055556
2006-07-03 9:00,0.000833333,0.000833333,0.000833333,-0.000833333,0.000833333,0.000833333,0.000833333,0.000833333,-0.000833333,0.000833333,0.000833333
